-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 aten::_index_put_impl_         0.01%      31.691us         0.02%      95.064us      31.688us      11.840us         0.04%      15.264us       5.088us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.840us         0.04%      11.840us       3.947us             3  
kernel_cutlass_kernel_vllmmodel_executorkernelslinea...         0.00%       0.000us         0.00%       0.000us       0.000us      11.328us         0.03%      11.328us       3.776us             3  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.624us         0.03%      10.624us       1.180us             9  
                                              aten::bmm         0.01%      43.285us         0.03%     138.519us      69.260us       7.680us         0.02%       7.680us       3.840us             2  
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.928us         0.02%       4.928us       1.643us             3  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.864us         0.01%       4.864us       0.811us             6  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.096us         0.01%       4.096us       1.365us             3  
                 nvjet_sm90_tst_64x8_64x16_2x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       4.096us         0.01%       4.096us       4.096us             1  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.936us         0.01%       3.936us       1.312us             3  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.584us         0.01%       3.584us       3.584us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.361us         0.01%       3.361us       1.120us             3  
                                               aten::gt         0.01%      20.759us         0.01%      34.215us      11.405us       2.976us         0.01%       2.976us       0.992us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.976us         0.01%       2.976us       0.992us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.720us         0.01%       2.720us       0.907us             3  
_C::fused_kimi_k3_mla_decode_q_concat_kv_cache_inser...         0.00%      15.743us         0.01%      29.829us      29.829us       1.472us         0.00%       1.472us       1.472us             1  
                                       cuLaunchKernelEx         0.02%      99.113us         0.02%      99.113us       5.830us       1.120us         0.00%       1.120us       0.066us            17  
void smxx::decode::flash_fwd_mla_combine_kernel<cutl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.088us         0.00%       1.088us       1.088us             1  
                                        cudaGraphLaunch         1.31%       5.284ms         1.31%       5.284ms     240.163us       0.800us         0.00%       0.800us       0.036us            22  
                                Activity Buffer Request         0.38%       1.527ms         0.38%       1.527ms       1.527ms       0.704us         0.00%       0.704us       0.704us             1  
                         threading.py(1030): _bootstrap         0.00%       1.664us       100.00%     402.310ms     134.103ms       0.000us         0.00%       0.000us       0.000us             3  
                   threading.py(1073): _bootstrap_inner         0.00%       3.302us       100.00%     402.308ms     134.103ms       0.000us         0.00%       0.000us       0.000us             3  
                              tqdm/_monitor.py(69): run         0.00%       0.887us        33.34%     134.109ms     134.109ms       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%       2.346us        33.34%     134.108ms     134.108ms       0.000us         0.00%       0.000us       0.000us             1  
